year,month,day,hour,pm2.5,cbwd,DEWP,TEMP,PRES,Iws,Is,Ir
2010,1,2,13,164,SE,-8,-5,1025,27.71,0,0
2010,1,2,14,158,SE,-9,-5,1025,31.73,0,0
2010,1,2,15,154,SE,-9,-5,1025,35.75,0,0
2010,1,2,16,159,SE,-9,-5,1026,37.54,0,0
2010,1,2,17,164,SE,-8,-5,1027,39.33,0,0
2010,1,2,18,170,SE,-8,-5,1027,42.46,0,0
2010,1,2,19,149,SE,-8,-5,1028,44.25,0,0
2010,1,2,20,154,SE,-7,-5,1028,46.04,0,0
2010,1,2,21,164,SE,-7,-5,1027,49.17,1,0
2010,1,2,22,156,SE,-8,-6,1028,52.3,2,0
2010,1,2,23,126,SE,-8,-6,1027,55.43,3,0
2010,1,3,0,90,SE,-7,-6,1027,58.56,4,0
2010,1,3,1,63,SE,-8,-6,1026,61.69,5,0
2010,1,3,2,65,SE,-8,-7,1026,65.71,6,0
2010,1,3,3,55,SE,-8,-7,1025,68.84,7,0
2010,1,3,4,65,SE,-8,-7,1024,72.86,8,0
2010,1,3,5,83,SE,-9,-8,1024,76.88,9,0
2010,1,3,6,91,SE,-10,-8,1024,80.9,10,0
2010,1,3,7,86,SE,-10,-9,1024,84.92,11,0
2010,1,3,8,82,SE,-10,-9,1024,89.84,12,0
2010,1,3,9,86,SE,-11,-9,1023,93.86,13,0
2010,1,3,10,78,SE,-11,-9,1023,97.88,15,0
2010,1,3,11,98,SE,-11,-9,1022,102.8,16,0
2010,1,3,12,107,SE,-11,-9,1021,105.93,17,0
2010,1,3,13,90,SE,-11,-9,1020,111.74,19,0
2010,1,3,14,96,SE,-11,-9,1020,116.66,20,0
2010,1,3,15,95,SE,-11,-9,1020,121.58,21,0
2010,1,3,16,86,SE,-11,-9,1020,124.71,22,0
2010,1,3,17,70,SE,-11,-9,1020,127.84,23,0
2010,1,3,18,61,cv,-11,-9,1021,0.89,24,0
2010,1,3,19,53,cv,-11,-9,1022,1.78,25,0
2010,1,3,20,71,NW,-10,-9,1022,4.02,26,0
2010,1,3,21,72,NW,-11,-10,1023,7.15,27,0
2010,1,3,22,76,NW,-11,-9,1023,11.17,0,0
2010,1,3,23,73,NW,-12,-11,1023,14.3,0,0
2010,1,4,0,79,NW,-14,-12,1023,16.09,0,0
2010,1,4,1,58,NW,-16,-9,1023,21.9,0,0
2010,1,4,2,25,NW,-17,-10,1024,29.95,0,0
2010,1,4,3,26,NW,-18,-11,1024,39.78,0,0
2010,1,4,4,28,NW,-19,-11,1025,48.72,0,0
2010,1,4,5,26,NW,-20,-12,1026,55.87,0,0
2010,1,4,6,20,NW,-21,-12,1027,64.81,0,0
2010,1,4,7,29,NW,-21,-13,1027,73.75,0,0
2010,1,4,8,26,NW,-22,-13,1028,80.9,0,0
2010,1,4,9,27,NW,-22,-13,1029,90.73,0,0
2010,1,4,10,27,NW,-22,-12,1030,100.56,0,0
2010,1,4,11,25,NW,-23,-12,1031,108.61,0,0
2010,1,4,12,29,NW,-21,-11,1030,117.55,0,0
2010,1,4,13,32,NW,-20,-10,1030,127.38,0,0
2010,1,4,14,28,NW,-21,-10,1030,136.32,0,0
2010,1,4,15,29,NW,-21,-9,1030,145.26,0,0
2010,1,4,16,30,NW,-21,-9,1031,152.41,0,0
2010,1,4,17,30,NW,-20,-11,1032,159.56,0,0
2010,1,4,18,28,NW,-23,-11,1032,165.37,0,0
2010,1,4,19,26,NW,-21,-12,1033,171.18,0,0
2010,1,4,20,31,NW,-24,-12,1034,180.12,0,0
2010,1,4,21,33,NW,-24,-13,1034,187.27,0,0
2010,1,4,22,29,NW,-24,-13,1035,195.32,0,0
2010,1,4,23,31,NW,-26,-15,1035,198.45,0,0
2010,1,5,0,30,NW,-26,-17,1035,201.58,0,0
2010,1,5,1,34,NW,-26,-18,1035,205.6,0,0
2010,1,5,2,27,NW,-26,-19,1035,208.73,0,0
2010,1,5,3,25,NW,-27,-18,1035,213.65,0,0
2010,1,5,4,28,NW,-27,-19,1035,218.57,0,0
2010,1,5,5,28,NE,-27,-16,1034,4.92,0,0
2010,1,5,6,27,NE,-26,-16,1035,8.05,0,0
2010,1,5,7,27,NE,-27,-16,1034,13.86,0,0
2010,1,5,8,27,NE,-26,-16,1035,18.78,0,0
2010,1,5,9,29,NE,-26,-15,1035,24.59,0,0
2010,1,5,10,36,NE,-25,-14,1035,29.51,0,0
2010,1,5,11,30,NE,-25,-13,1035,34.43,0,0
2010,1,5,12,27,NE,-25,-12,1034,39.35,0,0
2010,1,5,13,39,NE,-24,-11,1032,41.14,0,0
2010,1,5,14,41,cv,-22,-11,1032,0.89,0,0
2010,1,5,15,33,NW,-23,-11,1031,1.79,0,0
2010,1,5,16,50,NW,-24,-11,1031,3.58,0,0
2010,1,5,17,56,NW,-23,-11,1031,5.37,0,0
2010,1,5,18,59,NW,-23,-11,1032,7.16,0,0
2010,1,5,19,60,NW,-22,-13,1033,10.29,0,0
2010,1,5,20,84,NW,-22,-12,1033,13.42,0,0
2010,1,5,21,106,NW,-24,-18,1033,16.55,0,0
2010,1,5,22,66,NW,-22,-13,1034,20.57,0,0
2010,1,5,23,50,NW,-22,-16,1033,23.7,0,0
2010,1,6,0,56,NW,-25,-17,1033,26.83,0,0
2010,1,6,1,77,NE,-25,-14,1033,4.02,0,0
2010,1,6,2,50,NE,-26,-14,1034,8.04,0,0
2010,1,6,3,44,NE,-26,-14,1033,13.85,0,0
2010,1,6,4,27,NE,-26,-14,1033,17.87,0,0
2010,1,6,5,28,NE,-26,-14,1033,23.68,0,0
2010,1,6,6,21,NE,-26,-14,1033,28.6,0,0
2010,1,6,7,25,NE,-26,-15,1034,33.52,0,0
2010,1,6,8,20,NE,-26,-14,1034,39.33,0,0
2010,1,6,9,29,NE,-25,-13,1035,44.25,0,0
2010,1,6,10,34,NE,-25,-12,1035,50.06,0,0
2010,1,6,11,42,NE,-24,-11,1035,54.98,0,0
2010,1,6,12,28,NE,-24,-10,1034,59,0,0
2010,1,6,13,36,NW,-22,-10,1033,4.02,0,0
2010,1,6,14,48,NW,-22,-9,1033,5.81,0,0
2010,1,6,15,49,cv,-22,-8,1033,0.89,0,0
2010,1,6,16,52,NW,-22,-8,1033,1.79,0,0
2010,1,6,17,56,NW,-21,-9,1033,3.58,0,0
2010,1,6,18,96,NW,-22,-9,1033,5.37,0,0
2010,1,6,19,75,cv,-22,-14,1034,0.89,0,0
2010,1,6,20,105,NW,-22,-12,1035,1.79,0,0
2010,1,6,21,132,NW,-21,-14,1034,3.58,0,0
2010,1,6,22,93,NW,-22,-16,1035,5.37,0,0
2010,1,6,23,131,NW,-21,-16,1035,7.16,0,0
2010,1,7,0,127,NW,-21,-16,1035,8.95,0,0
2010,1,7,1,130,cv,-21,-16,1035,0.45,0,0
2010,1,7,2,43,cv,-22,-18,1036,1.34,0,0
2010,1,7,3,37,NW,-23,-15,1036,4.02,0,0
2010,1,7,4,30,NW,-24,-16,1035,7.15,0,0
2010,1,7,5,28,NW,-25,-15,1035,10.28,0,0
2010,1,7,6,24,NW,-24,-15,1035,14.3,0,0
2010,1,7,7,23,NE,-25,-13,1036,4.92,0,0
2010,1,7,8,24,NW,-24,-14,1036,4.02,0,0
2010,1,7,9,27,NW,-23,-12,1036,8.94,0,0
2010,1,7,10,40,NW,-22,-11,1036,12.96,0,0
2010,1,7,11,42,NW,-20,-10,1036,16.09,0,0
2010,1,7,12,42,NW,-21,-9,1035,19.22,0,0
2010,1,7,13,55,NW,-21,-8,1034,21.01,0,0
2010,1,7,14,52,NW,-20,-7,1033,22.8,0,0
2010,1,7,15,51,NW,-20,-7,1032,24.59,0,0
2010,1,7,16,57,NW,-18,-8,1032,26.38,0,0
2010,1,7,17,50,NW,-19,-9,1032,28.17,0,0
2010,1,7,18,54,NE,-19,-11,1032,0.89,0,0
2010,1,7,19,67,NW,-18,-11,1033,1.79,0,0
2010,1,7,20,106,NE,-19,-15,1032,1.79,0,0
2010,1,7,21,159,cv,-19,-14,1032,0.45,0,0
2010,1,7,22,198,cv,-21,-14,1032,1.34,0,0
2010,1,7,23,190,cv,-21,-16,1032,2.23,0,0
2010,1,8,0,210,NW,-21,-17,1031,1.79,0,0
2010,1,8,1,195,NW,-19,-16,1031,3.58,0,0
2010,1,8,2,275,NE,-20,-16,1031,0.89,0,0
2010,1,8,3,164,SE,-19,-15,1030,0.89,0,0
2010,1,8,4,110,cv,-18,-15,1030,0.45,0,0
2010,1,8,5,100,cv,-18,-15,1029,1.34,0,0
2010,1,8,6,81,NW,-18,-15,1029,1.79,0,0
2010,1,8,7,71,NE,-16,-13,1029,0.89,0,0
2010,1,8,8,66,SE,-16,-12,1029,0.89,0,0
2010,1,8,9,92,SE,-16,-12,1030,1.78,0,0
2010,1,8,10,135,NE,-17,-10,1030,0.89,0,0
2010,1,8,11,155,cv,-16,-10,1029,0.89,0,0
2010,1,8,12,198,SE,-16,-9,1028,3.13,0,0
2010,1,8,13,250,SE,-15,-8,1026,4.92,0,0
2010,1,8,14,200,cv,-16,-8,1026,0.89,0,0
2010,1,8,15,231,cv,-16,-8,1025,1.78,0,0
2010,1,8,16,250,cv,-16,-8,1025,2.67,0,0
2010,1,8,17,212,SE,-17,-8,1025,0.89,0,0
2010,1,8,18,219,cv,-17,-9,1026,0.45,0,0
2010,1,8,19,227,cv,-17,-11,1026,1.34,0,0
2010,1,8,20,226,cv,-17,-12,1026,1.79,0,0
2010,1,8,21,225,NW,-18,-14,1027,1.79,0,0
2010,1,8,22,168,NW,-16,-9,1027,4.92,0,0
2010,1,8,23,169,NW,-16,-11,1027,6.71,0,0
2010,1,9,0,165,cv,-17,-13,1027,0.89,0,0
2010,1,9,1,159,NW,-17,-13,1027,3.13,0,0
2010,1,9,2,167,NW,-17,-14,1027,4.92,0,0
2010,1,9,3,196,NW,-17,-15,1027,8.05,0,0
2010,1,9,4,169,NW,-17,-13,1027,9.84,0,0
2010,1,9,5,155,NW,-19,-16,1027,13.86,0,0
2010,1,9,6,119,NW,-18,-15,1027,17.88,0,0
2010,1,9,7,106,NW,-19,-15,1027,21.9,0,0
2010,1,9,8,93,NW,-18,-14,1028,25.92,0,0
2010,1,9,9,84,NE,-18,-9,1029,5.81,0,0
2010,1,9,10,73,NE,-17,-7,1029,11.62,0,0
2010,1,9,11,66,NE,-17,-6,1030,17.43,0,0
2010,1,9,12,40,NE,-16,-6,1029,23.24,0,0
2010,1,9,13,49,NE,-16,-5,1029,28.16,0,0
2010,1,9,14,50,NE,-15,-4,1029,33.08,0,0
2010,1,9,15,49,NE,-14,-4,1028,37.1,0,0
2010,1,9,16,41,NE,-15,-4,1029,38.89,0,0
2010,1,9,17,37,NW,-15,-4,1030,1.79,0,0
2010,1,9,18,45,NE,-15,-7,1030,3.13,0,0
2010,1,9,19,44,NW,-15,-6,1031,3.13,0,0
2010,1,9,20,54,NW,-15,-7,1032,4.92,0,0
2010,1,9,21,50,NE,-15,-6,1032,3.13,0,0
2010,1,9,22,47,cv,-15,-8,1033,0.45,0,0
2010,1,9,23,66,cv,-15,-8,1033,0.9,0,0
2010,1,10,0,75,NW,-15,-11,1033,0.89,0,0
2010,1,10,1,82,NW,-17,-13,1033,1.78,0,0
2010,1,10,2,66,NW,-17,-12,1033,4.91,0,0
2010,1,10,3,83,NW,-17,-13,1033,8.04,0,0
2010,1,10,4,62,NW,-19,-14,1032,9.83,0,0
2010,1,10,5,40,NW,-18,-13,1032,12.96,0,0
2010,1,10,6,23,NW,-19,-13,1032,16.09,0,0
2010,1,10,7,25,NW,-19,-14,1033,19.22,0,0
2010,1,10,8,27,NW,-19,-14,1034,22.35,0,0
2010,1,10,9,35,NW,-17,-12,1033,24.14,0,0
2010,1,10,10,50,NE,-16,-7,1033,4.02,0,0
2010,1,10,11,70,NW,-15,-7,1033,3.13,0,0
2010,1,10,12,75,NW,-15,-7,1032,6.26,0,0
2010,1,10,13,58,NW,-14,-6,1031,9.39,0,0
2010,1,10,14,70,NW,-14,-6,1031,12.52,0,0
2010,1,10,15,68,NW,-13,-5,1030,14.31,0,0
2010,1,10,16,71,NW,-14,-5,1031,16.1,0,0
2010,1,10,17,88,NW,-14,-6,1031,19.23,0,0
2010,1,10,18,84,NW,-13,-7,1032,23.25,0,0
2010,1,10,19,83,NW,-15,-6,1032,27.27,0,0
2010,1,10,20,66,NW,-15,-6,1033,30.4,0,0
2010,1,10,21,27,NW,-15,-4,1034,35.32,0,0
2010,1,10,22,24,NW,-16,-4,1034,44.26,0,0
2010,1,10,23,22,NW,-17,-5,1035,52.31,0,0
2010,1,11,0,23,NW,-17,-6,1035,60.36,0,0
2010,1,11,1,27,cv,-17,-8,1035,0.89,0,0
2010,1,11,2,23,NW,-19,-11,1036,4.02,0,0
2010,1,11,3,17,NW,-20,-11,1036,8.94,0,0
2010,1,11,4,17,NE,-21,-11,1035,4.02,0,0
2010,1,11,5,16,NW,-22,-12,1035,3.13,0,0
2010,1,11,6,16,NE,-22,-12,1035,4.92,0,0
2010,1,11,7,20,NW,-22,-13,1036,5.81,0,0
2010,1,11,8,20,NW,-22,-9,1036,13.86,0,0
2010,1,11,9,18,NW,-22,-10,1036,21.91,0,0
2010,1,11,10,25,NW,-22,-9,1036,29.06,0,0
2010,1,11,11,26,NW,-21,-9,1036,33.08,0,0
2010,1,11,12,27,NW,-20,-6,1035,42.02,0,0
2010,1,11,13,28,NW,-19,-5,1034,50.96,0,0
2010,1,11,14,15,NW,-19,-5,1033,59.01,0,0
2010,1,11,15,24,NW,-20,-5,1033,66.16,0,0
2010,1,11,16,13,NW,-20,-5,1032,71.97,0,0
2010,1,11,17,13,NW,-20,-5,1033,76.89,0,0
2010,1,11,18,13,NW,-20,-7,1033,81.81,0,0
2010,1,11,19,17,NW,-22,-7,1033,85.83,0,0
2010,1,11,20,20,NW,-22,-8,1033,89.85,0,0
2010,1,11,21,27,NW,-23,-10,1033,91.64,0,0
2010,1,11,22,20,NW,-23,-13,1033,93.43,0,0
2010,1,11,23,15,cv,-22,-12,1032,0.89,0,0
2010,1,12,0,21,cv,-22,-15,1031,1.78,0,0
2010,1,12,1,21,NE,-22,-14,1031,1.79,0,0
2010,1,12,2,37,NW,-22,-14,1031,0.89,0,0
2010,1,12,3,26,NE,-24,-18,1030,1.79,0,0
2010,1,12,4,15,NE,-24,-13,1030,3.58,0,0
2010,1,12,5,9,NW,-25,-14,1030,3.13,0,0
2010,1,12,6,11,NW,-24,-14,1030,7.15,0,0
2010,1,12,7,11,NW,-25,-12,1030,12.96,0,0
2010,1,12,8,16,NW,-26,-14,1030,16.98,0,0
2010,1,12,9,13,NW,-25,-12,1031,21,0,0
2010,1,12,10,15,NW,-25,-11,1031,26.81,0,0
2010,1,12,11,21,NW,-24,-11,1030,35.75,0,0
2010,1,12,12,24,NW,-23,-11,1029,47.82,0,0
2010,1,12,13,22,NW,-22,-11,1029,63.02,0,0
2010,1,12,14,22,NW,-23,-11,1029,75.98,0,0
2010,1,12,15,22,NW,-22,-11,1029,88.05,0,0
2010,1,12,16,19,NW,-23,-11,1030,101.01,0,0
2010,1,12,17,23,NW,-24,-11,1030,109.06,0,0
2010,1,12,18,25,NW,-24,-11,1032,118,0,0
2010,1,12,19,25,NW,-23,-11,1032,126.05,0,0
2010,1,12,20,31,NW,-23,-12,1032,134.1,0,0
2010,1,12,21,25,NW,-24,-12,1033,142.15,0,0
2010,1,12,22,22,NW,-23,-12,1033,150.2,0,0
2010,1,12,23,22,NW,-23,-12,1034,160.03,0,0
2010,1,13,0,15,NW,-24,-12,1034,169.86,0,0
2010,1,13,1,16,NW,-24,-12,1033,178.8,0,0
2010,1,13,2,11,NW,-25,-12,1033,189.98,0,0
2010,1,13,3,11,NW,-24,-13,1033,198.03,0,0
2010,1,13,4,12,NW,-25,-12,1032,205.18,0,0
2010,1,13,5,11,NW,-25,-12,1033,215.01,0,0
2010,1,13,6,12,NW,-25,-12,1032,226.19,0,0
2010,1,13,7,27,NW,-25,-12,1032,235.13,0,0
2010,1,13,8,28,NW,-25,-12,1032,243.18,0,0
2010,1,13,9,34,NW,-23,-11,1033,252.12,0,0
2010,1,13,10,33,NW,-23,-10,1033,257.93,0,0
2010,1,13,11,36,NW,-22,-9,1033,263.74,0,0
2010,1,13,12,26,NW,-21,-8,1031,270.89,0,0
2010,1,13,13,49,NW,-21,-6,1030,278.94,0,0
2010,1,13,14,52,NW,-20,-5,1029,286.99,0,0
2010,1,13,15,47,NW,-22,-5,1028,294.14,0,0
2010,1,13,16,47,NW,-21,-5,1028,299.06,0,0
2010,1,13,17,39,SE,-19,-7,1028,1.79,0,0
2010,1,13,18,59,cv,-19,-8,1028,0.45,0,0
2010,1,13,19,76,cv,-20,-9,1028,1.34,0,0
2010,1,13,20,96,SE,-19,-10,1027,1.79,0,0
2010,1,13,21,95,cv,-19,-13,1027,0.89,0,0
2010,1,13,22,68,cv,-18,-12,1027,1.78,0,0
2010,1,13,23,65,NE,-18,-13,1027,0.89,0,0
2010,1,14,0,75,NE,-18,-14,1026,1.78,0,0
2010,1,14,1,257,NE,-20,-15,1025,2.67,0,0
2010,1,14,2,174,NW,-20,-15,1025,0.89,0,0
2010,1,14,3,164,NW,-20,-16,1025,1.78,0,0
2010,1,14,4,161,NW,-20,-16,1024,3.57,0,0
2010,1,14,5,137,NW,-21,-17,1024,6.7,0,0
2010,1,14,6,92,NW,-19,-14,1023,10.72,0,0
2010,1,14,7,64,NW,-21,-17,1023,13.85,0,0
2010,1,14,8,87,NW,-19,-15,1024,15.64,0,0
2010,1,14,9,87,NW,-19,-14,1024,18.77,0,0
2010,1,14,10,84,NW,-18,-10,1024,22.79,0,0
2010,1,14,11,95,NW,-17,-9,1023,24.58,0,0
2010,1,14,12,79,NW,-16,-6,1023,26.37,0,0
2010,1,14,13,75,NW,-17,-5,1022,28.16,0,0
2010,1,14,14,79,NW,-16,-5,1022,29.95,0,0
2010,1,14,15,86,NW,-15,-4,1022,33.08,0,0
2010,1,14,16,72,cv,-16,-4,1023,0.89,0,0
2010,1,14,17,89,SE,-15,-5,1025,1.79,0,0
2010,1,14,18,94,NW,-14,-3,1026,5.81,0,0
2010,1,14,19,69,NW,-16,-3,1027,11.62,0,0
2010,1,14,20,49,NW,-15,-4,1029,20.56,0,0
2010,1,14,21,33,NW,-16,-5,1031,24.58,0,0
2010,1,14,22,27,NE,-17,-6,1032,3.13,0,0
2010,1,14,23,20,NE,-18,-6,1033,8.05,0,0
2010,1,15,0,36,NE,-19,-7,1034,13.86,0,0
2010,1,15,1,37,NW,-17,-8,1035,5.81,0,0
2010,1,15,2,30,NW,-18,-10,1035,11.62,0,0
2010,1,15,3,18,NW,-19,-10,1036,14.75,0,0
2010,1,15,4,21,NW,-19,-9,1036,19.67,0,0
2010,1,15,5,13,NE,-19,-9,1036,7.15,0,0
2010,1,15,6,23,NE,-20,-9,1037,12.96,0,0
2010,1,15,7,26,NE,-19,-9,1037,18.77,0,0
2010,1,15,8,27,NE,-19,-8,1038,22.79,0,0
2010,1,15,9,30,NE,-19,-8,1039,28.6,0,0
2010,1,15,10,28,NE,-19,-7,1039,35.75,0,0
2010,1,15,11,26,NE,-18,-6,1039,41.56,0,0
2010,1,15,12,26,NE,-18,-5,1039,45.58,0,0
2010,1,15,13,31,NW,-17,-4,1038,1.79,0,0
2010,1,15,14,35,cv,-16,-3,1037,0.89,0,0
2010,1,15,15,36,cv,-17,-3,1037,1.78,0,0
2010,1,15,16,37,cv,-17,-2,1037,2.23,0,0
2010,1,15,17,64,SE,-15,-5,1036,0.89,0,0
2010,1,15,18,83,cv,-15,-6,1036,0.89,0,0
2010,1,15,19,91,cv,-15,-6,1037,1.78,0,0
2010,1,15,20,90,SE,-14,-6,1037,1.79,0,0
2010,1,15,21,102,SE,-14,-8,1036,3.58,0,0
2010,1,15,22,94,cv,-14,-10,1037,0.89,0,0
2010,1,15,23,87,cv,-15,-11,1036,1.78,0,0
2010,1,16,0,141,cv,-15,-11,1036,2.67,0,0
2010,1,16,1,211,NE,-16,-13,1036,0.89,0,0
2010,1,16,2,242,cv,-16,-12,1036,0.89,0,0
2010,1,16,3,271,NE,-16,-13,1035,0.89,0,0
2010,1,16,4,249,NE,-15,-12,1035,1.78,0,0
2010,1,16,5,200,NW,-14,-10,1034,1.79,0,0
2010,1,16,6,147,NW,-15,-10,1034,2.68,0,0
2010,1,16,7,114,NW,-15,-11,1034,4.47,0,0
2010,1,16,8,102,NW,-15,-11,1034,6.26,0,0
2010,1,16,9,108,NW,-14,-9,1034,8.05,0,0
2010,1,16,10,135,NW,-14,-9,1034,9.84,0,0
2010,1,16,11,120,cv,-13,-6,1034,0.89,0,0
2010,1,16,12,148,NW,-13,-5,1033,1.79,0,0
2010,1,16,13,127,cv,-12,-4,1031,0.89,0,0
2010,1,16,14,128,cv,-12,-3,1031,1.78,0,0
2010,1,16,15,140,cv,-12,-3,1030,2.67,0,0
2010,1,16,16,148,cv,-11,-3,1030,3.56,0,0
2010,1,16,17,150,NE,-11,-4,1031,0.89,0,0
2010,1,16,18,154,cv,-12,-7,1031,0.89,0,0
2010,1,16,19,197,cv,-12,-7,1032,1.78,0,0
2010,1,16,20,235,cv,-12,-8,1032,2.23,0,0
2010,1,16,21,261,cv,-12,-9,1032,3.12,0,0
2010,1,16,22,269,NW,-13,-11,1032,0.89,0,0
2010,1,16,23,266,NW,-14,-11,1032,2.68,0,0
2010,1,17,0,263,NW,-15,-12,1032,5.81,0,0
2010,1,17,1,241,cv,-14,-11,1032,0.45,0,0
2010,1,17,2,205,cv,-14,-11,1031,1.34,0,0
2010,1,17,3,160,NW,-14,-12,1031,1.79,0,0
2010,1,17,4,150,NW,-14,-12,1031,3.58,0,0
2010,1,17,5,148,NW,-14,-10,1030,6.71,0,0
2010,1,17,6,208,NW,-14,-11,1030,9.84,0,0
2010,1,17,7,209,NW,-15,-10,1030,11.63,0,0
2010,1,17,8,183,NW,-13,-10,1030,14.76,0,0
2010,1,17,9,161,NW,-13,-8,1030,17.89,0,0
2010,1,17,10,182,cv,-12,-6,1030,0.45,0,0
2010,1,17,11,230,cv,-11,-5,1030,1.34,0,0
2010,1,17,12,170,cv,-11,-4,1029,2.23,0,0
2010,1,17,13,172,cv,-11,-3,1028,3.12,0,0
2010,1,17,14,154,cv,-10,-1,1027,4.01,0,0
2010,1,17,15,166,cv,-11,-1,1027,4.46,0,0
2010,1,17,16,177,SE,-10,-1,1026,0.89,0,0
2010,1,17,17,191,SE,-10,-3,1026,1.78,0,0
2010,1,17,18,212,SE,-10,-5,1027,2.67,0,0
2010,1,17,19,250,NE,-10,-6,1027,0.89,0,0
2010,1,17,20,268,cv,-11,-7,1027,0.45,0,0
2010,1,17,21,317,cv,-10,-7,1027,0.9,0,0
2010,1,17,22,291,cv,-11,-9,1027,1.35,0,0
2010,1,17,23,313,NE,-12,-9,1027,0.89,0,0
2010,1,18,0,282,cv,-12,-10,1028,0.89,0,0
2010,1,18,1,282,NW,-13,-11,1028,3.13,0,0
2010,1,18,2,303,NW,-11,-9,1028,4.92,0,0
2010,1,18,3,349,NW,-13,-10,1028,6.71,0,0
2010,1,18,4,407,NW,-13,-11,1028,7.6,0,0
2010,1,18,5,361,NE,-13,-11,1027,1.79,0,0
2010,1,18,6,234,NW,-14,-11,1028,0.89,0,0
2010,1,18,7,149,NW,-14,-11,1028,4.02,0,0
2010,1,18,8,147,NW,-14,-11,1028,5.81,0,0
2010,1,18,9,184,NW,-11,-6,1028,9.83,0,0
2010,1,18,10,161,NW,-10,-5,1028,11.62,0,0
2010,1,18,11,137,NW,-9,-3,1028,13.41,0,0
2010,1,18,12,146,NW,-8,-1,1027,15.2,0,0
2010,1,18,13,144,NW,-9,0,1026,16.99,0,0
2010,1,18,14,154,NE,-9,1,1025,1.79,0,0
2010,1,18,15,173,cv,-9,1,1025,0.89,0,0
2010,1,18,16,188,SE,-8,1,1025,0.89,0,0
2010,1,18,17,203,SE,-7,-1,1025,2.68,0,0
2010,1,18,18,233,cv,-7,-2,1025,0.89,0,0
2010,1,18,19,408,SE,-7,-3,1025,0.89,0,0
2010,1,18,20,435,cv,-5,-2,1026,0.89,0,0
2010,1,18,21,403,NW,-5,-1,1026,1.79,0,0
2010,1,18,22,360,NW,-5,-1,1026,3.58,0,0
2010,1,18,23,402,cv,-6,-1,1026,0.89,0,0
2010,1,19,0,358,NW,-4,-1,1025,1.79,0,0
2010,1,19,1,383,NW,-5,-1,1024,4.92,0,0
2010,1,19,2,332,NW,-5,-1,1024,6.71,0,0
2010,1,19,3,274,NW,-5,-1,1023,8.5,0,0
2010,1,19,4,256,NW,-4,-1,1022,10.29,0,0
2010,1,19,5,302,NW,-4,-1,1021,11.18,0,0
2010,1,19,6,330,NW,-4,-1,1021,12.07,0,0
2010,1,19,7,367,NW,-4,-1,1021,13.86,0,0
2010,1,19,8,297,cv,-4,0,1021,0.89,0,0
2010,1,19,9,331,NW,-4,0,1021,1.79,0,0
2010,1,19,10,323,cv,-4,0,1021,0.89,0,0
2010,1,19,11,339,NW,-5,1,1021,1.79,0,0
2010,1,19,12,301,cv,-5,1,1020,0.89,0,0
2010,1,19,13,310,cv,-4,1,1019,1.34,0,0
2010,1,19,14,305,NE,-4,1,1018,0.89,0,0
2010,1,19,15,313,cv,-3,2,1018,0.45,0,0
